Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP01029,Male,Yes,0,Graduate,No,3978,3328,15.0,360.0,1.0,Semiurban,Y
LP01030,Male,Yes,2,Graduate,Yes,5461,0,12.0,360.0,1.0,Rural,Y
LP01031,Male,Yes,1,Graduate,No,1457,0,3.0,360.0,1.0,Urban,Y
LP01032,Male,No,0,Not Graduate,No,5974,0,12.0,480.0,1.0,Semiurban,Y
LP01033,Male,No,2,Not Graduate,Yes,24490,560,90.0,360.0,1.0,Rural,N
LP01034,Male,Yes,0,Graduate,No,4157,0,14.0,480.0,0.0,Urban,N
LP01035,Male,No,0,Graduate,No,4165,621,,360.0,,Semiurban,Y
LP01036,Female,No,0,Graduate,No,6694,813,12.0,120.0,1.0,Rural,Y
LP01037,Male,Yes,1,Graduate,No,10992,5741,37.0,360.0,1.0,Rural,Y
LP01038,Male,No,0,Graduate,No,7602,0,24.0,360.0,,Rural,Y
LP01039,Female,Yes,2,Graduate,No,1359,0,5.0,360.0,1.0,Rural,N
LP01040,Male,Yes,0,Not Graduate,No,6062,595,12.0,360.0,1.0,Rural,Y
LP01041,Male,Yes,0,Graduate,No,18298,3763,67.0,120.0,0.0,Semiurban,N
LP01042,Male,Yes,2,Graduate,No,6263,3815,,360.0,1.0,Semiurban,Y
LP01043,Male,Yes,0,Graduate,Yes,2357,3425,8.0,360.0,1.0,Rural,Y
LP01044,Male,Yes,0,Graduate,No,5193,2800,11.0,360.0,1.0,Semiurban,Y
LP01045,Male,Yes,0,Graduate,,2199,1761,8.0,360.0,1.0,Urban,Y
LP01046,Female,No,0,Graduate,No,8761,968,22.0,360.0,,Semiurban,Y
LP01047,Male,Yes,0,Graduate,No,2629,724,4.0,360.0,0.0,Semiurban,N
LP01048,Male,Yes,0,Graduate,No,4632,5943,11.0,300.0,1.0,Rural,Y
LP01049,Male,Yes,1,Graduate,No,2774,0,12.0,480.0,1.0,Semiurban,Y
LP01050,Male,Yes,0,Graduate,No,3293,0,9.0,360.0,,Rural,N
LP01051,Female,No,0,Graduate,No,10071,0,41.0,360.0,1.0,Rural,Y
LP01052,,No,0,Graduate,,4707,1212,14.0,120.0,,Urban,Y
LP01053,Male,Yes,0,Graduate,No,3270,529,10.0,180.0,1.0,Semiurban,Y
LP01054,Male,No,1,Graduate,No,2369,0,4.0,360.0,1.0,Semiurban,Y
LP01055,Female,Yes,1,Graduate,No,1589,1080,5.0,360.0,1.0,Urban,Y
LP01056,Male,No,0,Graduate,No,2235,0,4.0,360.0,1.0,Semiurban,Y
LP01057,Male,Yes,0,Not Graduate,No,4730,0,14.0,360.0,1.0,Semiurban,N
LP01058,Male,Yes,0,Graduate,No,7625,342,17.0,360.0,1.0,Rural,Y
LP01059,Male,Yes,0,Graduate,No,3268,0,9.0,360.0,1.0,Semiurban,Y
LP01060,Male,Yes,0,Graduate,No,10549,0,33.0,360.0,1.0,Urban,Y
LP01061,Male,Yes,1,Not Graduate,No,2997,682,5.0,360.0,1.0,Semiurban,Y
LP01062,Male,Yes,1,Graduate,No,3901,0,9.0,360.0,1.0,Rural,Y
LP01063,Male,Yes,0,Not Graduate,Yes,2456,1532,11.0,360.0,1.0,Semiurban,Y
LP01064,Male,No,3+,Graduate,No,7669,2913,13.0,180.0,1.0,Urban,Y
LP01065,Male,No,0,Not Graduate,No,14096,1363,35.0,360.0,0.0,Rural,N
LP01066,Male,Yes,2,Graduate,No,1687,745,4.0,360.0,1.0,Urban,Y
LP01067,Male,No,2,Graduate,Yes,3676,0,10.0,,1.0,Urban,N
LP01068,Male,Yes,0,Graduate,No,8916,463,32.0,360.0,0.0,Semiurban,N
LP01069,Male,No,0,Graduate,No,2007,0,5.0,360.0,1.0,Rural,Y
LP01070,Male,Yes,0,Not Graduate,No,6073,0,,360.0,1.0,Rural,N
LP01071,Female,No,3+,Not Graduate,No,8706,4098,30.0,360.0,0.0,Urban,N
LP01072,Male,No,0,Graduate,No,4643,0,11.0,120.0,1.0,Rural,Y
LP01073,Male,No,2,Graduate,No,6019,4734,26.0,180.0,1.0,Rural,Y
LP01074,Male,No,0,Graduate,No,11713,0,52.0,360.0,1.0,Rural,Y
LP01075,Female,Yes,0,Graduate,No,12986,831,24.0,360.0,0.0,Rural,Y
LP01076,Male,No,1,Graduate,No,4298,0,11.0,360.0,0.0,Rural,N
LP01077,Male,Yes,0,Graduate,No,3318,0,7.0,360.0,0.0,Urban,N
LP01078,Male,Yes,0,Graduate,,2681,8661,6.0,360.0,1.0,Urban,Y
LP01079,Male,No,3+,Not Graduate,No,7611,1705,23.0,360.0,1.0,Rural,Y
LP01080,Male,Yes,0,Graduate,No,2091,10278,7.0,300.0,0.0,Semiurban,Y
LP01081,Male,Yes,3+,Graduate,No,3870,0,11.0,360.0,,Semiurban,Y
LP01082,Male,No,3+,Graduate,No,4705,4909,11.0,360.0,1.0,Rural,Y
LP01083,Male,Yes,0,Not Graduate,No,3372,638,8.0,360.0,,Rural,Y
LP01084,Female,Yes,0,Graduate,No,5187,2490,23.0,360.0,0.0,Rural,N
LP01085,Male,Yes,0,Graduate,No,18224,157,78.0,360.0,1.0,Rural,Y
LP01086,Female,No,1,Graduate,No,4159,0,7.0,360.0,1.0,Urban,Y
LP01087,Female,No,,Not Graduate,No,3500,2609,12.0,360.0,0.0,Rural,N
LP01088,Female,Yes,2,Graduate,No,7773,440,22.0,360.0,0.0,Rural,Y
LP01089,Male,Yes,3+,Not Graduate,No,5073,2507,18.0,360.0,0.0,Urban,N
LP01090,Male,Yes,0,Graduate,No,9815,4050,32.0,360.0,1.0,Urban,Y
LP01091,Male,No,0,Not Graduate,No,4869,991,20.0,360.0,1.0,Rural,Y
LP01092,Male,No,0,Graduate,No,3879,621,7.0,360.0,1.0,Semiurban,Y
LP01093,Male,No,2,Not Graduate,No,1667,0,4.0,360.0,1.0,Urban,N
LP01094,Male,Yes,0,Graduate,No,1825,623,8.0,360.0,0.0,Urban,N
LP01095,Male,Yes,0,Graduate,Yes,1620,1479,3.0,360.0,1.0,Urban,Y
LP01096,Male,Yes,0,Graduate,No,5479,1812,10.0,360.0,1.0,Urban,Y
LP01097,Male,Yes,0,Graduate,No,2102,0,8.0,360.0,1.0,Rural,Y
LP01098,,Yes,0,Graduate,No,8871,8729,34.0,360.0,1.0,Semiurban,Y
LP01099,Male,Yes,0,Graduate,No,4522,797,16.0,360.0,0.0,Rural,N
LP01100,Male,Yes,2,Graduate,No,3888,6578,15.0,360.0,,Urban,N
LP01101,Male,No,2,Not Graduate,No,2796,0,,360.0,1.0,Semiurban,Y
LP01102,Male,Yes,0,Graduate,No,6262,0,12.0,300.0,1.0,Urban,Y
LP01103,Male,Yes,2,Not Graduate,No,2857,0,9.0,360.0,1.0,Rural,N
LP01104,Male,No,0,Graduate,No,2586,0,10.0,360.0,1.0,Rural,Y
LP01105,Male,Yes,2,Graduate,Yes,8549,1075,35.0,480.0,0.0,Semiurban,N
LP01106,Male,Yes,0,Not Graduate,No,5405,0,12.0,360.0,1.0,Rural,Y
LP01107,Female,Yes,0,Graduate,No,3908,2493,7.0,360.0,1.0,Urban,Y
LP01108,Female,Yes,0,Graduate,No,6328,0,24.0,360.0,1.0,Urban,Y
LP01109,Male,Yes,0,Graduate,No,4469,0,10.0,180.0,1.0,Rural,Y
LP01110,Male,Yes,1,Graduate,No,5490,10535,9.0,360.0,1.0,Semiurban,Y
LP01111,Male,Yes,2,Graduate,No,2838,2622,11.0,360.0,1.0,Rural,Y
LP01112,Male,Yes,2,Graduate,No,13887,0,42.0,120.0,1.0,Urban,Y
LP01113,Male,Yes,0,Not Graduate,No,3233,0,8.0,360.0,1.0,Rural,Y
LP01114,Female,Yes,0,Graduate,,10465,380,16.0,360.0,0.0,Urban,Y
LP01115,Female,Yes,,Graduate,No,4008,2592,,360.0,0.0,Urban,N
LP01116,Male,No,0,Graduate,No,6932,0,27.0,360.0,1.0,Semiurban,Y
LP01117,Male,Yes,0,Graduate,No,6660,907,20.0,360.0,1.0,Rural,Y
LP01118,Female,Yes,0,Graduate,No,8356,0,16.0,120.0,1.0,Semiurban,Y
LP01119,Male,Yes,0,Not Graduate,No,2801,1270,7.0,360.0,1.0,Semiurban,N
LP01120,Male,No,0,Graduate,,8035,0,16.0,360.0,1.0,Urban,Y
LP01121,Male,Yes,0,Graduate,Yes,12278,5180,23.0,360.0,1.0,Urban,Y
LP01122,Male,Yes,1,Not Graduate,No,3857,634,9.0,360.0,1.0,Urban,Y
LP01123,Male,Yes,1,Graduate,No,4533,0,14.0,180.0,0.0,Rural,Y
LP01124,Female,Yes,2,Graduate,No,3335,5705,7.0,360.0,0.0,Urban,N
LP01125,Male,No,1,Graduate,No,3676,0,9.0,360.0,,Urban,Y
LP01126,Male,Yes,0,Graduate,No,11399,0,33.0,180.0,1.0,Semiurban,Y
LP01127,Male,No,3+,Graduate,No,2560,0,7.0,300.0,1.0,Semiurban,Y
LP01128,Male,Yes,1,Not Graduate,No,2649,0,5.0,,1.0,Semiurban,N
LP01129,Female,No,0,Graduate,Yes,10786,7630,17.0,360.0,1.0,Urban,Y
LP01130,Male,Yes,0,Graduate,No,6270,0,10.0,360.0,1.0,Semiurban,Y
LP01131,Male,No,1,Graduate,No,14274,4681,36.0,360.0,1.0,Rural,Y
LP01132,Male,No,1,Graduate,,3471,0,13.0,360.0,1.0,Urban,Y
LP01133,Male,Yes,1,Graduate,No,4767,699,9.0,180.0,,Semiurban,Y
LP01134,Female,Yes,2,Not Graduate,No,3092,1349,12.0,360.0,1.0,Urban,Y
LP01135,Male,Yes,2,Graduate,No,4812,2413,18.0,360.0,1.0,Rural,Y
LP01136,Male,Yes,3+,Not Graduate,No,1676,0,3.0,360.0,1.0,Rural,N
LP01137,Female,No,1,Graduate,No,6482,0,10.0,360.0,1.0,Urban,Y
LP01138,Male,Yes,3+,Graduate,No,5313,1306,11.0,360.0,1.0,Semiurban,Y
LP01139,Male,No,2,Graduate,No,4308,1280,7.0,360.0,1.0,Semiurban,Y
LP01140,Male,No,0,Not Graduate,No,3588,1718,11.0,360.0,1.0,Rural,Y
LP01141,Male,No,1,Graduate,No,2719,0,4.0,360.0,1.0,Semiurban,Y
LP01142,Male,No,0,Graduate,No,6636,0,26.0,360.0,1.0,Semiurban,Y
LP01143,Male,Yes,0,Graduate,No,2335,899,7.0,360.0,1.0,Urban,Y
LP01144,Male,Yes,0,Graduate,No,5893,939,22.0,360.0,1.0,Urban,Y
LP01145,Male,Yes,0,Not Graduate,Yes,13918,1453,52.0,360.0,1.0,Semiurban,Y
LP01146,Male,No,0,Not Graduate,No,10067,0,30.0,360.0,1.0,Semiurban,Y
LP01147,Male,No,0,Graduate,No,1943,0,8.0,360.0,1.0,Rural,Y
LP01148,Male,Yes,0,Graduate,Yes,3310,2262,15.0,360.0,1.0,Rural,Y
LP01149,Male,No,1,Graduate,Yes,5607,266,14.0,360.0,,Semiurban,Y
LP01150,Male,No,2,Graduate,No,4278,0,8.0,360.0,1.0,Semiurban,Y
LP01151,Male,Yes,3+,Graduate,No,2060,1237,5.0,300.0,1.0,Rural,Y
LP01152,Male,No,0,Graduate,,5497,695,12.0,360.0,1.0,Rural,Y
LP01153,Male,Yes,0,Graduate,,4423,0,14.0,360.0,1.0,Rural,Y
LP01154,Male,Yes,2,Graduate,No,12745,0,34.0,360.0,1.0,Rural,Y
LP01155,Male,Yes,0,Graduate,No,3869,1952,11.0,360.0,1.0,Semiurban,Y
LP01156,Male,Yes,3+,Graduate,No,8454,0,32.0,360.0,,Rural,Y
LP01157,Male,No,1,Not Graduate,Yes,2215,1610,5.0,480.0,1.0,Semiurban,N
LP01158,Male,Yes,0,Graduate,No,2527,485,8.0,360.0,1.0,Urban,Y
LP01159,Female,No,0,Graduate,No,6614,0,17.0,,1.0,Semiurban,Y
LP01160,Male,No,0,Graduate,No,8071,641,31.0,360.0,1.0,Semiurban,Y
LP01161,Male,No,0,Graduate,No,2627,0,9.0,360.0,1.0,Semiurban,Y
LP01162,Male,Yes,0,Graduate,No,4506,0,7.0,480.0,1.0,Urban,Y
LP01163,Male,Yes,2,Graduate,No,2080,530,7.0,360.0,1.0,Rural,Y
LP01164,,Yes,1,Graduate,No,4025,7072,8.0,360.0,,Semiurban,Y
LP01165,Male,Yes,0,Graduate,No,7047,0,26.0,180.0,1.0,Semiurban,Y
LP01166,,Yes,,Not Graduate,,3501,6118,11.0,480.0,1.0,Urban,Y
LP01167,Female,Yes,0,Graduate,No,3878,6553,10.0,360.0,1.0,Semiurban,Y
LP01168,Male,Yes,0,Graduate,No,2389,3207,9.0,360.0,1.0,Urban,Y
LP01169,Male,Yes,1,Graduate,No,3113,1040,13.0,360.0,1.0,Semiurban,Y
LP01170,Male,Yes,1,Graduate,Yes,11696,0,45.0,120.0,1.0,Semiurban,Y
LP01171,Male,Yes,2,Not Graduate,No,4629,0,15.0,360.0,1.0,Rural,Y
LP01172,Male,No,0,Graduate,Yes,2562,1745,,360.0,1.0,Semiurban,Y
LP01173,Male,Yes,0,Graduate,No,3740,0,10.0,360.0,1.0,Semiurban,N
LP01174,Male,No,2,Graduate,No,1847,1136,7.0,360.0,1.0,Rural,N
LP01175,Male,Yes,1,Graduate,No,2546,0,10.0,360.0,1.0,Semiurban,Y
LP01176,Male,Yes,1,Not Graduate,No,9397,0,18.0,360.0,1.0,Rural,Y
LP01177,Male,No,0,Graduate,No,4112,0,9.0,360.0,1.0,Urban,Y
LP01178,Male,No,2,Graduate,No,12580,0,29.0,360.0,0.0,Semiurban,N
LP01179,Male,Yes,0,Not Graduate,No,4220,0,8.0,360.0,1.0,Urban,Y
LP01180,Male,Yes,0,Not Graduate,No,4360,1007,12.0,360.0,1.0,Semiurban,Y
LP01181,Male,Yes,2,Not Graduate,,6326,582,13.0,360.0,0.0,Rural,Y
LP01182,Female,Yes,0,Graduate,No,1023,0,3.0,360.0,1.0,Semiurban,N
LP01183,Male,No,2,Graduate,No,4978,0,9.0,360.0,1.0,Semiurban,Y
LP01184,Female,Yes,0,Graduate,Yes,4329,1344,10.0,360.0,0.0,Urban,N
LP01185,Male,Yes,0,Graduate,No,10070,0,35.0,360.0,1.0,Rural,Y
LP01186,Male,Yes,0,Graduate,No,7560,2853,20.0,360.0,1.0,Semiurban,Y
LP01187,Male,Yes,2,Graduate,No,2384,255,7.0,360.0,1.0,Urban,Y
LP01188,Male,Yes,2,Graduate,Yes,8806,5924,34.0,360.0,1.0,Rural,Y
LP01189,Male,Yes,0,Graduate,No,3850,1154,17.0,360.0,1.0,Semiurban,Y
LP01190,Male,No,0,Graduate,No,2704,2786,9.0,360.0,1.0,Semiurban,Y
LP01191,Male,Yes,0,Graduate,,4956,3043,9.0,360.0,,Urban,N
LP01192,Male,Yes,0,Graduate,No,3978,6443,7.0,360.0,1.0,Urban,Y
LP01193,Male,Yes,1,Graduate,No,10365,0,46.0,360.0,1.0,Rural,Y
LP01194,Male,Yes,0,Graduate,No,5363,0,19.0,360.0,0.0,Semiurban,N
LP01195,Female,Yes,0,Graduate,No,4980,0,19.0,180.0,1.0,Rural,Y
LP01196,Male,Yes,0,Graduate,No,7298,0,26.0,360.0,1.0,Urban,Y
LP01197,Male,No,1,Graduate,Yes,8112,582,17.0,360.0,1.0,Semiurban,Y
LP01198,Male,No,1,Graduate,No,6843,0,19.0,360.0,,Rural,Y
LP01199,Male,No,1,Graduate,No,9708,0,38.0,360.0,0.0,Semiurban,N
LP01200,Male,No,0,Graduate,No,6215,0,25.0,360.0,1.0,Semiurban,Y
LP01201,Male,Yes,3+,Not Graduate,No,4877,3202,11.0,360.0,1.0,Semiurban,N
LP01202,Male,Yes,0,Graduate,No,8792,931,29.0,360.0,1.0,Semiurban,Y
LP01203,Male,Yes,2,Graduate,No,4230,1090,8.0,300.0,1.0,Rural,Y
LP01204,Male,No,,Graduate,No,4529,0,20.0,360.0,1.0,Semiurban,Y
LP01205,Male,Yes,0,Graduate,No,11463,0,26.0,360.0,0.0,Semiurban,Y
LP01206,Male,Yes,2,Graduate,No,10851,1570,40.0,360.0,1.0,Semiurban,Y
LP01207,Male,Yes,1,Graduate,No,4427,1771,10.0,120.0,1.0,Urban,Y
LP01208,Male,Yes,1,Not Graduate,No,3465,1053,,360.0,1.0,Urban,N
LP01209,Male,No,0,Graduate,No,9944,2599,35.0,360.0,1.0,Rural,Y
LP01210,Male,Yes,0,Graduate,No,6907,0,17.0,360.0,1.0,Urban,Y
LP01211,Male,Yes,2,Not Graduate,No,5290,3127,21.0,360.0,1.0,Urban,Y
LP01212,Female,Yes,0,Graduate,No,3726,3251,15.0,360.0,1.0,Semiurban,Y
LP01213,Male,No,0,Graduate,,5337,3000,22.0,360.0,1.0,Urban,Y
LP01214,,Yes,0,Graduate,No,4394,411,11.0,360.0,1.0,Urban,Y
LP01215,Male,Yes,0,Graduate,No,3086,0,12.0,360.0,1.0,Urban,Y
LP01216,Male,Yes,2,Graduate,No,4774,0,15.0,,1.0,Urban,Y
LP01217,Male,Yes,1,Not Graduate,No,5146,792,17.0,360.0,1.0,Semiurban,Y
LP01218,Male,No,2,Graduate,No,3617,564,11.0,360.0,1.0,Rural,Y
LP01219,Male,Yes,0,Graduate,No,7311,0,24.0,180.0,1.0,Semiurban,Y
LP01220,Male,No,0,Not Graduate,No,9035,0,17.0,120.0,1.0,Semiurban,Y
LP01221,Male,Yes,0,Graduate,,7581,1266,21.0,360.0,0.0,Semiurban,Y
LP01222,Male,Yes,,Not Graduate,No,3820,0,8.0,360.0,0.0,Urban,N
LP01223,Female,No,1,Graduate,No,6739,0,16.0,360.0,1.0,Semiurban,Y
LP01224,Male,Yes,0,Graduate,No,4642,1770,9.0,480.0,1.0,Semiurban,Y
LP01225,Male,No,0,Graduate,No,2254,1060,5.0,360.0,1.0,Semiurban,N
LP01226,Male,Yes,2,Graduate,Yes,6438,4869,25.0,360.0,1.0,Semiurban,Y
LP01227,Male,Yes,0,Graduate,No,4819,1392,15.0,360.0,0.0,Urban,N
LP01228,Male,Yes,0,Not Graduate,No,18517,0,29.0,360.0,,Rural,Y
LP01229,Male,Yes,1,Not Graduate,No,9912,2005,38.0,180.0,,Rural,Y
LP01230,Male,No,0,Not Graduate,No,6576,403,28.0,360.0,1.0,Rural,Y
LP01231,Male,Yes,2,Graduate,No,5100,1494,21.0,360.0,1.0,Urban,Y
LP01232,Male,Yes,1,Graduate,Yes,4866,476,19.0,360.0,1.0,Rural,Y
LP01233,Male,Yes,0,Graduate,Yes,2561,0,11.0,300.0,1.0,Semiurban,Y
LP01234,Male,Yes,0,Graduate,No,1709,0,6.0,360.0,1.0,Urban,Y
LP01235,Female,Yes,0,Graduate,No,2752,0,12.0,360.0,1.0,Rural,Y
LP01236,Male,No,1,Graduate,No,4332,0,19.0,360.0,1.0,Rural,Y
LP01237,Female,Yes,0,Graduate,No,1397,1660,3.0,360.0,1.0,Urban,N
LP01238,Female,Yes,1,Graduate,No,3297,0,13.0,360.0,1.0,Rural,N
LP01239,Male,Yes,0,Graduate,No,3881,4055,15.0,360.0,1.0,Urban,Y
LP01240,Male,Yes,0,Graduate,No,3950,0,15.0,180.0,1.0,Semiurban,N
LP01241,Female,Yes,0,Graduate,No,3090,0,13.0,180.0,,Urban,Y
LP01242,Male,No,0,Not Graduate,No,3686,0,10.0,360.0,1.0,Urban,Y
LP01243,Male,Yes,0,Graduate,No,11477,0,31.0,360.0,1.0,Rural,Y
LP01244,Male,No,0,Graduate,Yes,6401,372,22.0,360.0,1.0,Semiurban,Y
LP01245,Male,Yes,3+,Graduate,No,3268,658,12.0,360.0,,Urban,Y
LP01246,Female,Yes,0,Graduate,No,4283,0,,360.0,,Rural,Y
LP01247,Male,No,1,Graduate,No,4378,1245,18.0,,1.0,Rural,Y
LP01248,Female,No,0,Not Graduate,No,2915,247,11.0,360.0,1.0,Rural,N
LP01249,Male,No,1,Graduate,No,2913,914,13.0,360.0,,Rural,N
LP01250,Male,Yes,0,Graduate,No,7753,0,16.0,180.0,1.0,Rural,Y
LP01251,Male,No,1,Graduate,No,3530,0,15.0,480.0,1.0,Semiurban,Y
LP01252,Female,No,0,Graduate,No,2436,3677,4.0,360.0,,Semiurban,Y
LP01253,Female,No,0,Not Graduate,No,4343,657,14.0,360.0,1.0,Rural,Y
LP01254,Female,No,0,Not Graduate,No,4745,0,8.0,360.0,1.0,Urban,Y
LP01255,Male,No,0,Graduate,Yes,1503,4120,5.0,360.0,1.0,Urban,Y
LP01256,Male,Yes,,Not Graduate,No,4349,0,12.0,360.0,,Semiurban,N
LP01257,Male,No,0,Graduate,No,7168,436,13.0,360.0,1.0,Urban,Y
LP01258,Female,No,3+,Graduate,No,5700,0,20.0,360.0,0.0,Semiurban,N
LP01259,Male,No,0,Not Graduate,No,15160,771,56.0,360.0,1.0,Rural,Y
LP01260,Male,No,0,Graduate,No,8849,0,18.0,360.0,1.0,Semiurban,Y
LP01261,Male,Yes,2,Not Graduate,No,9867,0,35.0,360.0,1.0,Semiurban,Y
LP01262,Male,Yes,1,Graduate,No,20745,2027,42.0,360.0,1.0,Semiurban,Y
LP01263,Male,Yes,0,Graduate,Yes,6748,0,13.0,360.0,1.0,Semiurban,Y
LP01264,Male,No,0,Graduate,No,4864,2833,9.0,360.0,1.0,Urban,Y
LP01265,Male,No,0,Not Graduate,No,7597,1999,25.0,300.0,,Urban,N
LP01266,Male,No,0,Graduate,No,3270,0,13.0,360.0,1.0,Semiurban,Y
LP01267,Male,No,0,Not Graduate,Yes,4718,0,16.0,360.0,0.0,Semiurban,N
LP01268,Male,Yes,2,Graduate,No,3114,2677,,360.0,0.0,Semiurban,N
LP01269,Male,Yes,2,Graduate,No,5535,1175,18.0,180.0,1.0,Semiurban,Y
LP01270,Male,Yes,0,Graduate,No,3107,1385,12.0,360.0,1.0,Urban,Y
LP01271,Male,No,0,Graduate,No,3048,0,14.0,,1.0,Semiurban,Y
LP01272,Male,Yes,0,Graduate,,5583,797,15.0,180.0,0.0,Semiurban,N
LP01273,Male,No,0,Graduate,No,4123,6318,8.0,360.0,1.0,Semiurban,Y
LP01274,Female,No,0,Graduate,No,1541,6936,3.0,360.0,1.0,Rural,Y
LP01275,Male,Yes,1,Graduate,,1997,0,7.0,360.0,1.0,Rural,Y
LP01276,Male,No,0,Graduate,No,2366,0,7.0,120.0,1.0,Urban,Y
LP01277,Male,Yes,3+,Not Graduate,No,2736,184,,360.0,1.0,Semiurban,N
LP01278,Male,Yes,,Graduate,No,5586,4812,23.0,360.0,1.0,Urban,Y
LP01279,Female,Yes,0,Not Graduate,Yes,5016,0,22.0,180.0,1.0,Urban,Y
LP01280,Female,Yes,0,Graduate,No,7990,777,18.0,360.0,1.0,Rural,Y
LP01281,Male,Yes,1,Not Graduate,No,6728,0,14.0,360.0,1.0,Urban,Y
LP01282,Female,Yes,0,Graduate,No,8019,0,17.0,360.0,1.0,Urban,Y
LP01283,Male,Yes,0,Graduate,No,6214,0,17.0,360.0,0.0,Rural,N
LP01284,Male,Yes,0,Graduate,No,4991,0,20.0,360.0,1.0,Rural,Y
LP01285,Male,Yes,1,Graduate,No,8141,0,27.0,360.0,1.0,Rural,Y
LP01286,Male,Yes,3+,Graduate,No,7374,0,13.0,180.0,1.0,Rural,Y
LP01287,Male,No,0,Graduate,No,5469,0,16.0,360.0,1.0,Urban,Y
LP01288,Male,Yes,0,Not Graduate,Yes,8947,2021,16.0,360.0,0.0,Semiurban,N
LP01289,Male,Yes,0,Graduate,No,1224,5695,,360.0,1.0,Semiurban,Y
LP01290,Male,No,0,Graduate,Yes,3790,5083,10.0,360.0,0.0,Semiurban,N
LP01291,Male,No,3+,Not Graduate,No,3759,0,13.0,360.0,1.0,Semiurban,Y
LP01292,Male,No,0,Graduate,No,8383,158,26.0,360.0,1.0,Urban,Y
LP01293,Male,No,1,Graduate,,10554,0,44.0,360.0,1.0,Urban,Y
LP01294,Male,Yes,2,Not Graduate,No,2003,3510,3.0,360.0,1.0,Rural,Y
LP01295,Male,No,1,Graduate,No,9664,347,37.0,360.0,1.0,Urban,Y
LP01296,Male,Yes,0,Not Graduate,No,2335,0,4.0,,0.0,Semiurban,N
LP01297,Male,Yes,1,Not Graduate,No,2374,0,6.0,360.0,0.0,Rural,N
LP01298,Male,Yes,0,Graduate,No,3909,7112,16.0,360.0,1.0,Rural,Y
LP01299,Male,No,0,Graduate,No,3733,921,13.0,360.0,0.0,Semiurban,Y
LP01300,Female,Yes,3+,Graduate,Yes,1887,860,4.0,360.0,0.0,Urban,N
LP01301,Male,Yes,0,Not Graduate,No,6358,1552,19.0,360.0,1.0,Rural,Y
LP01302,Male,Yes,0,Not Graduate,No,6462,2324,24.0,360.0,1.0,Semiurban,Y
LP01303,Male,No,0,Graduate,No,7940,0,34.0,360.0,1.0,Semiurban,Y
