CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
6.4348,0.0,24.02,0,0.472,6.168,16.6,9.7547,6,605,12.9,61.29,31.17,20.4
0.4209,25.0,10.96,0,0.797,6.868,54.3,1.7303,7,499,15.5,144.59,31.42,16.7
0.5637,0.0,8.96,1,0.599,5.621,68.0,10.4531,5,651,21.1,287.59,28.52,10.9
0.9307,25.0,16.63,1,0.492,6.177,46.7,10.5684,2,399,20.4,250.83,36.57,12.1
2.9025,20.0,15.9,0,0.752,5.816,17.2,4.865,4,388,16.1,74.82,11.52,22.1
1.2415,80.0,11.34,0,0.651,7.351,25.9,8.349,8,408,18.0,340.72,31.71,18.1
2.0534,0.0,16.45,0,0.39,6.825,85.7,5.5287,2,709,17.9,21.48,14.48,29.0
6.4793,80.0,25.29,0,0.535,,5.4,2.7961,2,507,20.4,236.37,21.21,20.5
4.6252,35.0,12.89,0,0.467,6.735,71.5,6.9153,2,266,14.8,390.48,17.88,27.3
3.5137,0.0,5.71,1,0.701,6.274,99.9,2.05,8,208,15.4,211.1,1.91,30.1
0.5128,12.5,10.5,0,0.515,6.438,2.7,10.7632,2,458,15.4,317.85,22.55,20.6
3.5683,20.0,10.94,0,0.412,5.47,17.8,11.2672,6,609,13.0,236.36,28.83,11.3
1.3634,35.0,3.97,0,0.407,4.769,68.1,10.1377,24,438,15.6,310.88,8.04,20.9
0.3713,25.0,4.82,0,0.665,6.405,7.9,7.2878,6,480,20.9,260.32,35.52,9.4
1.1983,35.0,18.64,0,0.391,6.527,59.8,7.2336,4,605,21.2,274.41,20.95,17.5
0.2117,0.0,9.5,0,0.796,7.146,69.0,11.9307,2,457,13.6,90.67,8.17,32.2
2.7453,20.0,25.8,0,0.456,7.4,59.6,3.8269,1,663,16.9,294.51,,27.7
2.915,12.5,6.96,0,0.677,7.399,37.8,1.9354,2,521,16.2,94.67,8.67,37.9
0.8829,80.0,3.12,0,0.598,5.601,70.3,7.2814,24,570,17.2,389.22,4.01,23.9
0.1375,0.0,20.47,0,0.597,6.053,60.2,4.7166,2,596,17.8,90.66,26.58,13.7
8.1879,20.0,23.85,0,0.415,6.636,22.3,4.6457,1,515,12.8,94.18,5.72,31.2
2.4234,0.0,7.87,1,0.773,8.072,57.2,1.1779,8,213,20.5,340.85,5.56,35.5
4.4642,35.0,5.86,0,0.818,7.336,88.4,7.6586,4,410,21.8,96.68,28.56,17.1
1.0584,12.5,5.42,0,0.385,7.084,67.3,4.0044,4,261,18.7,143.45,3.7,33.9
5.0292,0.0,14.33,0,0.468,6.029,48.2,3.1664,7,454,18.8,283.73,31.09,12.6
4.9238,20.0,12.91,1,0.823,5.682,33.5,1.5448,5,262,17.6,63.28,30.6,5.0
0.2794,12.5,7.38,0,0.649,6.852,10.4,5.108,24,453,15.7,63.4,6.83,32.9
16.2948,35.0,1.7,0,0.454,5.53,26.0,10.7687,5,367,14.0,193.2,20.52,15.5
2.0208,20.0,13.26,0,0.479,6.133,3.1,4.8034,7,197,18.1,96.97,5.21,28.2
4.1933,20.0,25.92,0,0.703,6.22,98.7,8.5698,8,252,13.0,93.78,24.66,14.3
0.7311,0.0,17.79,1,0.735,7.415,23.8,9.422,5,450,20.4,3.98,3.98,31.3
2.9515,0.0,13.63,0,0.674,,81.9,4.7091,3,228,16.6,147.23,35.98,8.5
0.8587,12.5,3.43,1,0.847,4.593,18.5,10.138,24,635,16.5,126.53,9.24,13.1
4.8418,80.0,7.19,0,0.622,6.653,29.8,8.7107,3,584,15.7,12.68,26.49,19.8
1.3892,80.0,8.31,0,0.527,5.811,43.0,7.2517,1,558,21.7,246.69,6.36,26.7
2.3373,25.0,20.77,0,0.614,6.33,33.8,1.1109,6,277,14.2,248.84,,28.9
1.5842,25.0,23.73,0,0.556,6.239,80.2,1.486,24,603,14.0,28.4,18.07,24.9
2.2605,12.5,24.39,0,0.49,6.108,95.9,11.9995,1,519,14.2,126.05,22.5,23.4
1.4169,0.0,26.59,1,0.403,6.853,87.8,9.7051,8,391,18.8,346.46,37.96,16.4
1.839,0.0,26.53,0,0.553,5.227,17.1,11.4132,8,187,21.9,231.2,2.64,21.5
0.0862,0.0,25.75,0,0.729,5.938,78.1,11.0253,24,464,14.8,163.7,1.71,29.8
4.7625,0.0,2.4,0,0.389,6.779,16.5,1.3249,4,604,21.1,184.77,14.42,28.9
7.5289,0.0,4.15,0,0.595,5.87,91.5,9.8103,3,204,15.2,82.92,14.99,22.2
1.7429,0.0,8.57,0,0.696,5.174,52.8,6.0626,5,214,18.7,322.3,33.78,5.0
10.2123,0.0,15.15,0,0.679,6.768,35.0,9.7851,2,387,13.0,362.8,34.83,13.1
0.5043,20.0,3.07,0,0.761,7.086,17.4,1.1739,8,455,17.3,361.47,33.66,14.8
8.3539,80.0,22.91,0,0.777,6.269,3.2,4.2702,6,435,18.8,89.13,6.9,25.4
1.0931,25.0,16.84,0,0.729,4.927,26.3,9.3646,5,410,17.6,123.55,16.66,11.9
2.006,12.5,14.87,0,0.43,6.794,91.6,9.8232,5,320,14.8,64.02,28.78,23.8
7.311,12.5,4.88,1,0.613,5.138,80.1,7.9169,7,218,20.4,122.15,13.05,17.8
0.3808,0.0,7.21,0,0.676,6.516,97.0,4.4138,5,203,21.7,132.3,25.78,18.0
0.573,0.0,4.75,0,0.5,5.679,,4.514,8,238,16.9,251.4,10.31,25.8
4.0276,20.0,23.08,0,0.401,5.488,60.0,11.7344,24,548,18.6,75.53,13.44,18.1
2.9471,20.0,15.98,0,0.49,5.991,27.2,5.9313,24,598,20.0,364.93,32.93,12.1
0.8639,0.0,19.98,1,0.603,6.172,55.2,6.0184,6,414,14.9,41.21,10.79,24.1
1.3301,12.5,8.34,0,0.583,5.849,33.4,7.1757,7,227,20.7,3.05,36.7,5.0
2.2496,0.0,10.34,0,0.467,6.712,29.8,5.6045,3,404,15.2,339.37,12.82,28.3
5.6993,0.0,11.23,1,0.784,5.988,58.2,7.1794,1,703,19.9,279.42,2.55,27.0
1.075,25.0,20.64,1,0.834,6.986,20.0,5.8557,4,317,13.7,141.25,10.95,29.0
2.2952,20.0,20.97,0,0.479,6.497,48.0,10.1939,8,444,15.3,236.48,7.91,34.6
1.0626,25.0,5.98,0,0.835,5.812,65.8,11.0996,2,468,17.6,88.97,20.1,14.5
0.913,25.0,25.45,0,0.389,5.694,14.6,11.3532,5,359,17.5,67.1,5.79,32.1
6.4006,80.0,3.7,0,0.833,5.147,93.2,7.3073,2,416,20.6,187.17,24.43,6.4
1.6697,35.0,24.25,0,0.846,6.504,51.6,5.9636,4,434,22.0,140.39,33.46,8.8
4.0183,20.0,3.16,0,0.386,6.052,82.3,8.8576,2,435,13.6,244.31,14.86,22.6
0.9081,80.0,7.51,0,0.754,4.639,66.1,10.3216,7,563,15.2,86.83,7.82,18.4
0.5581,12.5,22.93,0,0.855,5.925,71.6,7.2928,8,491,16.0,263.22,16.22,16.4
3.4272,80.0,5.26,0,0.824,5.669,72.2,8.7998,7,214,17.1,304.44,30.23,6.5
4.2524,35.0,11.46,0,0.856,7.403,87.8,9.347,7,190,17.2,66.4,23.17,24.5
2.8527,25.0,12.42,0,0.65,5.108,62.1,8.5403,3,402,20.6,17.71,5.37,21.3
3.5621,80.0,7.0,0,0.418,5.291,29.3,9.3075,5,662,19.8,174.65,21.2,16.7
3.0566,20.0,19.32,0,0.796,7.077,11.8,3.3951,1,206,12.8,307.28,18.69,24.2
3.2759,25.0,23.06,1,0.681,7.25,61.4,6.5821,4,224,16.9,258.41,13.57,28.2
6.764,0.0,23.68,0,0.681,5.779,8.5,7.571,5,542,18.4,278.67,5.7,22.8
8.4704,80.0,9.49,0,0.584,5.858,25.6,1.1273,7,423,16.9,160.08,37.31,9.4
1.9871,20.0,14.57,0,0.66,6.731,7.9,10.5156,1,307,13.8,93.49,,33.4
0.2722,35.0,7.08,0,0.455,4.671,55.8,7.8103,8,295,16.3,211.21,8.7,19.6
4.2112,12.5,6.99,1,0.742,4.997,17.7,2.5205,5,535,16.5,81.37,6.98,22.2
2.5386,35.0,4.77,0,0.417,6.103,61.8,10.0799,8,461,14.4,288.33,22.4,22.9
7.3214,0.0,25.41,0,0.738,7.385,79.5,8.9876,5,521,19.7,78.43,17.81,24.0
3.1334,0.0,24.03,0,0.796,5.995,82.5,9.4413,5,333,15.6,115.83,10.76,23.4
0.4208,20.0,21.1,0,0.612,6.371,,5.4125,7,462,18.1,201.21,17.29,25.3
3.1476,25.0,14.22,0,0.63,,55.8,10.4962,8,637,17.4,193.34,26.15,25.3
1.7173,35.0,13.5,0,0.533,7.775,57.2,5.6543,2,352,20.8,238.6,11.93,35.2
0.3454,12.5,14.54,0,0.855,5.896,48.3,7.3756,5,394,13.7,173.8,34.92,8.1
0.8216,25.0,14.72,0,0.739,6.288,,1.1071,1,272,13.7,364.96,12.82,23.5
10.4281,20.0,12.02,0,0.561,7.575,22.6,8.1936,5,521,15.4,333.42,8.89,35.7
1.2088,80.0,3.99,0,0.466,5.234,98.0,8.9999,8,204,16.7,348.96,36.35,10.2
0.7743,25.0,3.83,0,0.488,7.019,11.6,7.3382,8,317,15.4,249.97,31.12,21.5
1.3323,12.5,25.73,1,0.607,5.587,83.3,6.5621,3,560,19.8,252.15,14.16,18.8
6.2021,80.0,13.27,0,0.842,6.372,60.2,10.0093,4,197,14.9,241.92,32.24,11.7
3.2665,0.0,25.76,0,0.74,6.13,26.0,8.5951,5,705,13.4,172.79,20.53,17.9
0.5931,80.0,4.83,0,0.485,5.629,75.1,4.1588,4,398,16.5,128.06,14.29,20.6
0.0244,0.0,15.19,0,0.801,5.612,10.3,11.6498,2,395,19.9,235.1,32.18,6.1
1.3141,0.0,6.0,0,0.565,6.493,77.9,8.8799,3,468,20.6,10.45,29.0,19.0
0.4519,35.0,7.21,0,0.797,6.997,59.8,11.9673,4,521,19.5,3.28,12.51,24.5
6.2024,25.0,1.3,1,0.498,6.209,12.9,11.7839,5,427,17.8,338.06,23.72,18.2
0.3198,80.0,3.65,0,0.683,6.349,9.8,11.208,24,650,19.4,18.73,15.11,19.3
2.0527,25.0,24.8,0,0.834,6.7,75.6,9.4091,5,691,19.0,208.44,1.74,30.4
3.0526,25.0,9.02,0,0.506,5.62,,7.8037,4,291,14.8,244.21,36.61,12.0
8.61,0.0,16.62,0,0.72,6.818,89.2,2.9939,6,557,17.8,78.91,21.65,23.6
0.8714,0.0,12.82,0,0.864,6.874,76.7,7.0769,7,344,19.8,355.55,23.42,17.8
5.2073,0.0,11.11,0,0.454,8.123,70.4,9.5191,4,708,15.6,75.71,23.48,32.6
2.291,0.0,14.59,0,0.423,6.037,29.3,6.8294,5,319,18.7,351.1,21.69,18.6
5.1901,0.0,5.46,0,0.71,5.979,71.5,10.6506,2,341,17.1,302.91,12.23,22.0
1.0744,20.0,26.7,1,0.546,,94.9,2.3062,8,561,17.3,95.79,36.97,15.3
0.9983,35.0,22.19,0,0.415,6.873,11.0,5.2903,8,600,13.4,60.1,24.27,25.3
0.7583,80.0,20.15,0,0.613,5.925,34.0,6.6656,2,254,18.9,125.73,26.05,14.0
3.1317,12.5,12.92,0,0.749,6.018,25.0,5.8556,4,478,20.7,158.14,18.21,16.9
1.9489,80.0,4.55,0,0.52,6.679,40.5,2.2945,3,368,13.9,97.79,,28.4
2.5982,80.0,24.9,0,0.544,5.721,74.7,2.7888,24,507,16.0,396.46,4.04,26.0
3.8485,35.0,9.55,0,0.794,6.013,48.5,10.3138,1,478,13.1,91.4,14.41,24.5
3.4622,12.5,1.83,0,0.635,6.363,57.9,6.4282,2,703,12.9,329.73,8.09,34.3
3.1359,0.0,9.57,0,0.793,6.997,32.8,1.6359,3,676,21.9,63.42,25.73,13.9
4.1962,80.0,21.55,0,0.599,5.877,15.8,1.2814,6,529,17.2,389.07,33.61,7.1
0.1033,0.0,17.0,0,0.847,5.01,28.2,6.3082,3,543,15.9,89.76,12.69,12.0
4.5148,12.5,20.4,0,0.699,4.958,86.2,2.9082,5,657,15.2,167.55,13.78,14.7
3.9012,0.0,21.53,0,0.437,5.418,61.0,8.8564,7,283,21.8,221.84,26.03,13.1
1.316,35.0,6.12,0,0.814,5.381,39.0,9.8486,8,567,15.0,48.02,7.12,21.4
0.7192,25.0,24.98,0,0.62,6.192,79.4,3.6113,1,591,19.4,324.25,35.44,10.2
2.1318,0.0,12.11,1,0.449,5.468,8.3,7.6139,2,253,15.3,109.25,14.91,21.7
6.0771,0.0,17.43,0,0.455,,26.9,2.7989,1,648,13.3,218.15,,26.8
0.9778,20.0,0.56,0,0.717,5.758,24.6,4.4394,24,553,19.0,218.29,8.04,20.7
4.2999,20.0,26.82,0,0.403,5.992,98.6,10.8768,6,368,12.6,239.32,35.56,13.8
8.9072,35.0,7.94,0,0.52,7.226,71.2,7.0851,5,440,19.0,22.32,10.67,26.8
1.1965,0.0,2.14,0,0.448,6.763,62.5,10.8448,8,443,15.0,67.19,25.74,20.0
12.9083,80.0,12.64,0,0.596,6.311,2.5,3.5777,6,668,19.6,64.25,7.37,22.7
0.1812,12.5,3.92,0,0.583,5.977,20.1,4.7303,3,694,19.8,120.11,8.75,25.2
0.1116,35.0,4.54,0,0.636,5.997,64.3,6.2805,5,609,19.4,57.79,33.62,10.0
5.5719,0.0,17.26,0,0.517,6.529,39.2,6.3809,7,528,12.8,365.94,7.07,32.6
1.9362,0.0,10.91,0,0.396,6.709,92.6,12.0741,1,241,19.2,203.75,2.38,29.7
1.8181,0.0,24.93,0,0.681,5.665,76.9,2.3589,6,666,21.9,247.62,19.89,10.0
5.8775,0.0,8.96,0,0.563,6.326,45.8,10.4716,5,257,14.9,142.09,33.02,15.7
7.425,80.0,19.74,0,0.699,4.878,75.5,10.6005,1,274,15.2,109.87,13.53,8.2
2.4728,0.0,12.72,0,0.433,6.448,97.6,7.1852,3,223,20.2,199.87,6.35,31.8
6.3197,0.0,17.99,0,0.387,6.834,47.2,4.8844,5,683,14.1,117.04,37.35,13.3
3.0314,0.0,16.39,1,0.502,6.104,65.0,6.8115,4,445,18.8,136.6,26.27,17.7
1.5044,80.0,13.03,0,0.604,7.572,92.0,4.3171,3,310,19.7,179.87,32.58,17.7
0.7299,25.0,25.68,0,0.573,5.683,26.4,9.8902,6,229,12.9,200.88,29.0,16.1
4.1303,35.0,9.58,0,0.777,6.452,88.9,6.5811,4,402,17.8,390.68,27.05,21.6
6.4227,25.0,5.2,0,0.565,6.275,11.6,11.2843,5,566,18.0,88.89,15.66,17.0
8.0097,25.0,18.47,0,0.64,6.23,65.5,7.9496,8,708,15.5,193.84,13.47,24.6
0.906,35.0,22.92,0,0.671,6.22,78.7,6.7575,1,476,20.8,59.61,27.73,9.0
3.0774,0.0,1.57,0,0.391,6.375,62.2,8.9218,4,505,14.1,139.12,27.72,21.0
1.5399,35.0,12.42,0,0.632,6.894,50.6,6.6433,1,625,16.0,284.79,36.21,14.4
5.1358,25.0,24.15,0,0.549,7.264,62.5,11.0496,24,659,20.6,69.51,22.34,23.7
0.6621,25.0,20.36,0,0.586,6.298,16.9,3.1289,2,333,14.4,230.87,12.39,23.8
0.1768,12.5,26.78,0,0.429,6.871,23.1,11.8068,8,706,20.3,165.58,,26.3
1.0827,35.0,14.58,0,0.764,5.809,28.5,10.0341,2,459,13.3,20.78,23.98,11.6
0.212,12.5,17.99,0,0.842,6.836,60.6,10.5681,3,674,17.2,370.36,17.19,24.8
1.4133,0.0,8.52,0,0.391,5.767,45.3,6.412,6,248,13.3,164.35,30.42,14.5
1.4636,80.0,25.61,0,0.675,7.063,26.0,10.3092,8,238,19.0,311.21,22.92,18.3
0.3402,0.0,10.21,0,0.754,7.847,88.5,4.4745,2,650,20.0,165.42,2.04,39.7
9.2617,0.0,20.07,0,0.52,6.215,38.6,9.4814,2,539,20.6,372.06,22.39,16.9
0.9065,20.0,11.18,0,0.766,4.765,45.7,2.645,8,278,21.8,115.51,24.7,8.5
3.5903,0.0,15.39,0,0.69,5.916,42.2,4.4776,3,655,18.9,163.8,34.92,10.3
0.6022,35.0,19.57,0,0.835,7.162,19.8,6.0031,2,240,19.8,301.27,16.72,21.4
1.5263,12.5,13.99,0,0.861,6.687,73.7,4.6455,7,544,17.4,136.61,22.55,17.6
0.2707,0.0,24.54,0,0.401,6.474,45.9,5.3572,1,294,21.2,144.82,18.94,22.7
0.3535,80.0,11.61,0,0.598,7.006,3.6,10.1212,8,223,18.7,394.85,21.0,26.6
