CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,InternetService,Contract,PaymentMethod,TechSupport,OnlineSecurity,DeviceProtection,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
CUST10106,Female,0,No,Yes,5,DSL,Two year,Credit card,No,No,No,No,67.42,310.35,No
CUST10107,Female,1,No,No,14,Fiber optic,Month-to-month,Bank transfer,No,No,Yes,Yes,54.44,773.27,Yes
CUST10108,Female,0,No,Yes,27,DSL,Month-to-month,Electronic check,No,No,No,No,55.15,1459.72,Yes
CUST10109,Male,0,No,Yes,9,Fiber optic,Month-to-month,Bank transfer,No,No,No,No,61.28,543.7,Yes
CUST10110,Female,0,No,Yes,15,No,One year,Mailed check,No,No,No,Yes,90.49,1484.34,No
CUST10111,Male,1,Yes,Yes,42,No,Month-to-month,Electronic check,No,No,Yes,Yes,79.83,3503.02,No
CUST10112,Male,1,Yes,Yes,51,Fiber optic,Month-to-month,Credit card,Yes,No,No,No,65.97,3305.11,No
CUST10113,Female,0,No,No,63,Fiber optic,One year,Bank transfer,No,No,Yes,Yes,27.59,1570.99,No
CUST10114,Female,0,Yes,Yes,52,No,Month-to-month,Mailed check,Yes,No,No,Yes,27.78,1309.95,No
CUST10115,Male,0,No,Yes,4,Fiber optic,Two year,Credit card,No,No,Yes,Yes,20.23,83.91,No
CUST10116,Male,0,No,No,23,DSL,Two year,Bank transfer,No,No,No,No,116.77,2867.12,Yes
CUST10117,Female,0,No,No,15,No,One year,Credit card,No,No,Yes,Yes,20.53,320.74,No
CUST10118,Male,0,Yes,No,43,Fiber optic,Two year,Electronic check,No,No,No,No,30.31,1278.8,Yes
CUST10119,Female,1,No,No,29,Fiber optic,One year,Mailed check,No,Yes,No,No,51.46,1352.4,Yes
CUST10120,Male,0,No,No,36,DSL,Month-to-month,Bank transfer,No,No,No,Yes,100.74,3965.66,Yes
CUST10121,Female,0,No,No,13,DSL,One year,Bank transfer,Yes,No,No,No,116.21,1657.67,No
CUST10122,Male,0,No,No,32,No,Month-to-month,Credit card,Yes,No,No,Yes,99.0,3199.28,No
CUST10123,Female,0,Yes,No,71,Fiber optic,Month-to-month,Credit card,No,No,No,Yes,89.06,5780.31,No
CUST10124,Female,0,No,Yes,59,DSL,Two year,Electronic check,No,Yes,No,No,72.13,4290.54,No
CUST10125,Male,0,No,Yes,28,DSL,Month-to-month,Credit card,No,Yes,No,No,28.67,865.75,No
CUST10126,Female,0,Yes,Yes,66,Fiber optic,Two year,Bank transfer,No,Yes,No,Yes,115.82,7919.29,No
CUST10127,Male,0,Yes,No,42,Fiber optic,Month-to-month,Bank transfer,No,No,No,No,95.84,4202.38,No
CUST10128,Male,1,No,No,45,DSL,One year,Credit card,Yes,No,Yes,No,83.89,3461.7,No
CUST10129,Male,0,No,No,62,No,Month-to-month,Bank transfer,No,No,No,No,95.9,5477.88,No
CUST10130,Male,0,No,No,57,DSL,One year,Bank transfer,Yes,No,Yes,Yes,92.41,4874.79,Yes
CUST10131,Female,1,No,No,6,Fiber optic,One year,Credit card,No,No,No,No,83.72,542.95,No
CUST10132,Male,0,Yes,Yes,28,Fiber optic,One year,Electronic check,Yes,Yes,No,Yes,118.06,3322.77,Yes
CUST10133,Male,0,Yes,Yes,28,DSL,Month-to-month,Credit card,No,Yes,No,Yes,110.34,3269.69,No
CUST10134,Male,1,Yes,No,44,No,Month-to-month,Electronic check,Yes,No,Yes,No,84.67,3438.84,Yes
CUST10135,Female,0,Yes,No,30,Fiber optic,Month-to-month,Electronic check,No,No,Yes,No,89.32,2908.78,Yes
CUST10136,Male,0,Yes,No,62,Fiber optic,One year,Electronic check,No,No,No,Yes,25.16,1660.11,No
CUST10137,Female,0,Yes,No,62,DSL,Two year,Credit card,No,No,No,Yes,86.99,5096.49,No
CUST10138,Female,0,Yes,Yes,1,DSL,Month-to-month,Credit card,No,No,No,Yes,24.42,26.25,No
CUST10139,Male,0,No,No,27,DSL,One year,Electronic check,No,Yes,No,No,78.83,2027.71,No
CUST10140,Female,0,Yes,No,62,Fiber optic,Two year,Electronic check,No,No,No,Yes,119.94,6998.04,Yes
CUST10141,Male,0,No,No,3,Fiber optic,Month-to-month,Mailed check,No,No,Yes,Yes,75.58,216.05,No
CUST10142,Female,0,No,No,70,No,One year,Electronic check,Yes,No,No,Yes,67.32,5098.77,No
CUST10143,Female,0,Yes,Yes,72,Fiber optic,Two year,Mailed check,No,No,Yes,No,51.29,3999.83,No
CUST10144,Male,0,Yes,Yes,27,No,Month-to-month,Electronic check,Yes,No,No,No,32.05,835.75,No
CUST10145,Female,0,Yes,No,9,Fiber optic,Month-to-month,Credit card,Yes,No,Yes,No,93.1,872.33,No
CUST10146,Male,1,Yes,No,62,DSL,Month-to-month,Electronic check,No,Yes,No,No,39.26,2519.68,No
CUST10147,Female,0,No,No,37,DSL,Two year,Mailed check,No,No,Yes,Yes,31.53,1238.14,No
CUST10148,Male,0,Yes,Yes,51,Fiber optic,Two year,Credit card,No,Yes,No,Yes,62.18,3042.12,No
CUST10149,Male,0,Yes,No,44,DSL,One year,Bank transfer,No,No,Yes,Yes,99.53,4388.2,No
CUST10150,Male,0,Yes,Yes,24,DSL,Month-to-month,Electronic check,Yes,No,No,No,94.51,2344.3,No
CUST10151,Male,0,No,Yes,59,Fiber optic,Month-to-month,Credit card,Yes,No,No,Yes,25.49,1361.42,No
CUST10152,Female,1,No,No,32,No,Month-to-month,Credit card,No,No,Yes,Yes,65.51,2044.64,No
CUST10153,Male,0,No,No,52,DSL,Month-to-month,Electronic check,No,Yes,No,Yes,72.24,3903.65,No
CUST10154,Male,0,Yes,Yes,62,Fiber optic,One year,Electronic check,Yes,Yes,No,Yes,84.45,4976.82,No
CUST10155,Male,0,No,Yes,58,No,Two year,Credit card,No,No,Yes,Yes,85.02,5382.56,No
CUST10156,Male,0,No,No,52,Fiber optic,Two year,Electronic check,No,Yes,Yes,No,56.47,2660.51,No
CUST10157,Female,0,No,Yes,12,DSL,One year,Credit card,No,No,No,No,76.07,996.47,No
CUST10158,Male,1,No,No,39,DSL,Month-to-month,Bank transfer,No,Yes,Yes,No,68.11,2505.82,No
CUST10159,Female,1,Yes,No,2,Fiber optic,Month-to-month,Mailed check,No,No,Yes,No,108.5,197.42,Yes
CUST10160,Male,0,No,Yes,3,Fiber optic,Month-to-month,Mailed check,No,No,Yes,Yes,73.03,210.0,No
CUST10161,Male,0,No,Yes,56,No,One year,Mailed check,Yes,No,No,Yes,64.1,3795.13,No
CUST10162,Male,0,Yes,No,59,Fiber optic,Two year,Electronic check,No,No,No,No,60.45,3746.62,No
CUST10163,Male,0,Yes,No,2,DSL,Month-to-month,Mailed check,No,No,Yes,No,77.24,145.48,Yes
CUST10164,Male,0,No,No,2,DSL,Month-to-month,Electronic check,Yes,No,No,Yes,100.4,188.62,Yes
CUST10165,Male,0,Yes,No,54,Fiber optic,Month-to-month,Credit card,No,Yes,No,No,73.84,4101.06,No
CUST10166,Female,0,No,No,1,DSL,Month-to-month,Bank transfer,No,No,Yes,Yes,86.17,85.45,No
CUST10167,Female,1,No,No,19,DSL,Month-to-month,Electronic check,No,No,Yes,Yes,93.79,1886.18,Yes
CUST10168,Male,0,No,No,2,Fiber optic,Month-to-month,Mailed check,Yes,No,No,No,72.02,130.33,Yes
CUST10169,Male,0,Yes,No,53,DSL,Month-to-month,Electronic check,No,No,No,Yes,62.68,3395.4,Yes
CUST10170,Male,0,No,No,44,DSL,Two year,Credit card,No,No,Yes,Yes,107.67,4956.04,No
CUST10171,Female,0,Yes,No,32,Fiber optic,One year,Credit card,Yes,No,No,Yes,61.75,2170.99,Yes
CUST10172,Male,0,No,No,70,DSL,Month-to-month,Credit card,No,No,No,Yes,66.19,4798.97,No
CUST10173,Female,0,Yes,No,32,DSL,Month-to-month,Electronic check,No,No,Yes,No,119.03,3604.68,Yes
CUST10174,Female,0,No,Yes,68,Fiber optic,Month-to-month,Bank transfer,No,No,No,No,20.02,1254.68,No
CUST10175,Female,1,No,No,55,No,Month-to-month,Credit card,Yes,No,No,No,38.55,2180.01,Yes
CUST10176,Female,0,No,Yes,56,DSL,Month-to-month,Electronic check,No,Yes,No,No,58.4,3285.56,No
CUST10177,Female,0,No,Yes,17,Fiber optic,Month-to-month,Bank transfer,No,No,No,Yes,113.26,2079.12,Yes
CUST10178,Male,0,No,Yes,38,Fiber optic,One year,Electronic check,No,No,Yes,Yes,27.0,1072.5,No
CUST10179,Female,0,No,No,24,Fiber optic,Two year,Bank transfer,No,No,No,Yes,20.95,503.78,No
CUST10180,Female,0,Yes,No,69,No,Month-to-month,Mailed check,No,No,No,Yes,25.27,1710.01,No
CUST10181,Male,1,No,Yes,70,Fiber optic,Two year,Bank transfer,Yes,No,No,Yes,28.85,1980.88,No
CUST10182,Male,0,Yes,No,11,No,Month-to-month,Bank transfer,No,No,Yes,No,23.76,247.05,No
CUST10183,Female,0,No,No,16,DSL,Month-to-month,Bank transfer,No,No,No,No,67.98,982.68,No
CUST10184,Male,0,Yes,Yes,59,DSL,One year,Bank transfer,No,No,Yes,Yes,78.08,4675.74,No
CUST10185,Male,0,Yes,No,70,No,One year,Electronic check,Yes,No,Yes,No,47.17,3111.98,No
CUST10186,Male,0,No,No,3,Fiber optic,Two year,Electronic check,No,No,Yes,Yes,59.83,169.02,No
CUST10187,Female,0,Yes,No,20,DSL,One year,Bank transfer,No,No,No,No,29.17,539.69,No
CUST10188,Female,1,Yes,No,59,Fiber optic,Two year,Credit card,No,No,Yes,No,53.64,2968.29,Yes
CUST10189,Male,0,No,No,36,No,Two year,Bank transfer,Yes,Yes,No,Yes,72.25,2357.44,No
CUST10190,Male,0,No,Yes,19,No,One year,Electronic check,Yes,No,Yes,Yes,93.23,1833.1,Yes
CUST10191,Female,0,No,Yes,67,DSL,Month-to-month,Bank transfer,Yes,Yes,Yes,No,20.33,1335.25,No
CUST10192,Female,1,Yes,Yes,19,No,One year,Electronic check,No,No,Yes,No,66.73,1283.47,No
CUST10193,Male,0,No,No,20,DSL,Two year,Mailed check,Yes,No,Yes,No,49.7,1021.23,No
CUST10194,Female,0,Yes,Yes,71,DSL,Two year,Bank transfer,Yes,No,No,No,105.28,8181.23,No
CUST10195,Female,0,No,Yes,52,Fiber optic,Month-to-month,Electronic check,Yes,Yes,No,No,91.56,4350.01,No
CUST10196,Male,0,No,No,33,DSL,Two year,Electronic check,No,No,No,Yes,78.91,2561.28,Yes
CUST10197,Male,0,No,No,40,DSL,Month-to-month,Mailed check,Yes,Yes,No,Yes,47.73,1812.17,Yes
CUST10198,Female,0,Yes,No,39,Fiber optic,Month-to-month,Electronic check,No,No,No,Yes,111.03,4310.0,Yes
CUST10199,Female,0,Yes,Yes,1,DSL,Month-to-month,Credit card,Yes,No,No,Yes,24.51,26.57,No
CUST10200,Female,0,Yes,Yes,11,DSL,One year,Electronic check,No,No,Yes,Yes,30.95,355.7,Yes
CUST10201,Male,1,Yes,No,57,DSL,Two year,Mailed check,No,No,No,No,59.16,3481.34,No
CUST10202,Male,0,Yes,Yes,50,Fiber optic,Month-to-month,Mailed check,No,Yes,No,Yes,32.44,1602.94,No
CUST10203,Male,0,No,Yes,23,Fiber optic,Month-to-month,Bank transfer,No,No,Yes,Yes,115.64,2750.74,Yes
CUST10204,Male,0,Yes,No,31,Fiber optic,Month-to-month,Electronic check,No,No,Yes,No,99.8,2804.45,Yes
CUST10205,Female,0,No,No,42,Fiber optic,One year,Electronic check,No,No,Yes,Yes,45.9,1961.05,No
CUST10206,Male,0,Yes,No,7,Fiber optic,Month-to-month,Bank transfer,No,No,No,Yes,78.86,557.96,No
CUST10207,Male,0,No,No,16,No,Month-to-month,Bank transfer,No,No,No,No,118.23,1833.66,No
CUST10208,Female,0,No,No,60,DSL,Month-to-month,Electronic check,No,No,No,No,108.42,6116.86,Yes
CUST10209,Male,0,Yes,Yes,2,DSL,Month-to-month,Electronic check,No,No,No,Yes,80.08,170.01,No
CUST10210,Female,0,Yes,No,1,No,Month-to-month,Credit card,No,No,No,Yes,110.37,100.52,Yes
CUST10211,Male,0,No,Yes,48,Fiber optic,One year,Bank transfer,No,No,No,No,118.92,5216.88,No
CUST10212,Female,0,Yes,Yes,12,No,Month-to-month,Electronic check,No,No,Yes,Yes,94.34,1118.61,No
CUST10213,Female,0,No,No,69,Fiber optic,One year,Electronic check,Yes,Yes,No,Yes,26.5,1738.01,No
CUST10214,Female,0,No,Yes,37,Fiber optic,Month-to-month,Mailed check,Yes,No,No,No,60.16,2335.19,No
CUST10215,Male,0,No,No,32,Fiber optic,Month-to-month,Bank transfer,No,Yes,No,Yes,103.78,3410.09,Yes
CUST10216,Female,0,Yes,Yes,9,Fiber optic,Month-to-month,Credit card,Yes,Yes,No,Yes,43.06,408.66,Yes
CUST10217,Male,0,No,No,19,Fiber optic,One year,Bank transfer,No,No,No,Yes,103.06,1889.48,No
CUST10218,Male,0,No,No,48,Fiber optic,Two year,Electronic check,Yes,No,Yes,No,32.03,1611.4,No
CUST10219,Male,0,No,Yes,3,Fiber optic,Two year,Electronic check,No,Yes,No,No,24.69,79.44,No
CUST10220,Male,0,Yes,Yes,20,No,One year,Electronic check,No,No,No,Yes,58.41,1132.05,Yes
CUST10221,Male,0,No,No,24,DSL,Month-to-month,Credit card,No,No,No,Yes,23.67,549.89,No
CUST10222,Male,0,No,No,54,DSL,Two year,Credit card,No,No,Yes,Yes,115.73,6749.31,Yes
CUST10223,Female,0,No,No,33,Fiber optic,One year,Electronic check,Yes,No,Yes,Yes,102.62,3081.54,No
CUST10224,Female,0,Yes,No,24,Fiber optic,Month-to-month,Mailed check,Yes,No,No,Yes,100.08,2329.95,Yes
CUST10225,Male,1,No,No,72,No,Two year,Electronic check,No,No,Yes,No,82.98,5518.91,No
CUST10226,Male,0,Yes,No,36,DSL,Month-to-month,Mailed check,No,Yes,Yes,Yes,41.63,1357.5,Yes
CUST10227,Male,0,No,No,38,Fiber optic,Month-to-month,Mailed check,No,Yes,No,Yes,71.83,2518.2,Yes
CUST10228,Male,0,No,No,25,Fiber optic,Month-to-month,Electronic check,No,Yes,No,Yes,79.73,1965.84,Yes
CUST10229,Male,0,No,No,18,Fiber optic,Month-to-month,Electronic check,No,No,Yes,Yes,72.5,1353.8,Yes
CUST10230,Female,0,No,No,66,No,Month-to-month,Bank transfer,No,No,No,Yes,46.02,2909.32,Yes
CUST10231,Female,0,Yes,No,54,DSL,Month-to-month,Credit card,No,No,No,Yes,71.52,4132.17,No
CUST10232,Male,1,No,No,35,Fiber optic,Month-to-month,Bank transfer,Yes,No,Yes,No,69.12,2389.02,No
CUST10233,Male,0,Yes,No,61,No,Month-to-month,Mailed check,No,No,No,No,119.63,7980.8,Yes
CUST10234,Female,0,No,Yes,41,No,One year,Credit card,No,Yes,No,Yes,109.74,4908.02,No
CUST10235,Male,0,No,Yes,33,Fiber optic,One year,Electronic check,Yes,No,No,Yes,66.34,2308.87,No
CUST10236,Male,0,No,No,68,Fiber optic,Month-to-month,Electronic check,No,No,No,Yes,82.29,6079.64,Yes
CUST10237,Male,0,Yes,No,33,DSL,Month-to-month,Credit card,Yes,Yes,No,Yes,94.79,3257.63,No
CUST10238,Female,0,No,No,14,Fiber optic,Month-to-month,Electronic check,No,Yes,No,No,23.49,354.88,No
CUST10239,Female,0,No,Yes,21,No,Two year,Credit card,No,No,Yes,Yes,109.49,2178.11,Yes
